zipcode_prefix,zipcode_lat,zipcode_lon,location,state,state_name,region,state_lat,state_lon,loc_lat,loc_lon
1001,-23.550380539269455,-46.63402699777831,Sao Paulo,SP,Sao Paulo,Southeast,-23.65283405,-46.52781661,-23.5329,-46.6395
1002,-23.548551065785627,-46.63507239078997,Sao Paulo,SP,Sao Paulo,Southeast,-23.65283405,-46.52781661,-23.5329,-46.6395
1003,-23.54897652899767,-46.63531311226845,Sao Paulo,SP,Sao Paulo,Southeast,-23.65283405,-46.52781661,-23.5329,-46.6395
1004,-23.549534948092827,-46.634770582289825,Sao Paulo,SP,Sao Paulo,Southeast,-23.65283405,-46.52781661,-23.5329,-46.6395
1005,-23.54961248124544,-46.63653202553522,Sao Paulo,SP,Sao Paulo,Southeast,-23.65283405,-46.52781661,-23.5329,-46.6395
1006,-23.550317224536894,-46.63622549584506,Sao Paulo,SP,Sao Paulo,Southeast,-23.65283405,-46.52781661,-23.5329,-46.6395
1007,-23.55034858312654,-46.63734214071785,Sao Paulo,SP,Sao Paulo,Southeast,-23.65283405,-46.52781661,-23.5329,-46.6395
1008,-23.545395979326535,-46.635598592835734,Sao Paulo,SP,Sao Paulo,Southeast,-23.65283405,-46.52781661,-23.5329,-46.6395
1009,-23.54693540437998,-46.63658792659698,Sao Paulo,SP,Sao Paulo,Southeast,-23.65283405,-46.52781661,-23.5329,-46.6395
1010,-23.54565700582837,-46.6346895341229,Sao Paulo,SP,Sao Paulo,Southeast,-23.65283405,-46.52781661,-23.5329,-46.6395
1011,-23.546690486964888,-46.6354469588072,Sao Paulo,SP,Sao Paulo,Southeast,-23.65283405,-46.52781661,-23.5329,-46.6395
1012,-23.54774227061568,-46.63488111172018,Sao Paulo,SP,Sao Paulo,Southeast,-23.65283405,-46.52781661,-23.5329,-46.6395
1013,-23.547307871775622,-46.63423572661436,Sao Paulo,SP,Sao Paulo,Southeast,-23.65283405,-46.52781661,-23.5329,-46.6395
1014,-23.546065945322862,-46.63358224756194,Sao Paulo,SP,Sao Paulo,Southeast,-23.65283405,-46.52781661,-23.5329,-46.6395
1015,-23.54797349999999,-46.631701306827225,Sao Paulo,SP,Sao Paulo,Southeast,-23.65283405,-46.52781661,-23.5329,-46.6395
1016,-23.549251053963594,-46.632135517086056,Sao Paulo,SP,Sao Paulo,Southeast,-23.65283405,-46.52781661,-23.5329,-46.6395
1017,-23.54968991921072,-46.63111414126611,Sao Paulo,SP,Sao Paulo,Southeast,-23.65283405,-46.52781661,-23.5329,-46.6395
1018,-23.550598321195395,-46.63188,Sao Paulo,SP,Sao Paulo,Southeast,-23.65283405,-46.52781661,-23.5329,-46.6395
1019,-23.55166351540767,-46.63093168887411,Sao Paulo,SP,Sao Paulo,Southeast,-23.65283405,-46.52781661,-23.5329,-46.6395
1020,-23.552494470713864,-46.62960898251487,Sao Paulo,SP,Sao Paulo,Southeast,-23.65283405,-46.52781661,-23.5329,-46.6395
1021,-23.544184662502165,-46.63214268206478,Sao Paulo,SP,Sao Paulo,Southeast,-23.65283405,-46.52781661,-23.5329,-46.6395
1022,-23.544497629753597,-46.631461751457095,Sao Paulo,SP,Sao Paulo,Southeast,-23.65283405,-46.52781661,-23.5329,-46.6395
1023,-23.542092880648095,-46.63137717319231,Sao Paulo,SP,Sao Paulo,Southeast,-23.65283405,-46.52781661,-23.5329,-46.6395
